Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2018-07-07 10:44PM,2018-07-08 06:36AM,412,60,31.0,472,101.0,235.0,76.0
2018-07-06 10:21PM,2018-07-07 06:29AM,424,64,20.0,488,124.0,249.0,51.0
2018-07-05 11:11PM,2018-07-06 06:30AM,383,56,22.0,439,94.0,215.0,74.0
2018-07-04 10:24PM,2018-07-05 07:07AM,451,72,25.0,523,94.0,276.0,81.0
2018-07-03 10:50PM,2018-07-04 07:13AM,428,75,26.0,503,111.0,226.0,91.0
2018-07-02 11:04PM,2018-07-03 06:17AM,376,57,22.0,433,100.0,235.0,41.0
2018-07-02 01:14AM,2018-07-02 06:42AM,298,30,,328,,,
2018-08-30 11:58PM,2018-08-31 07:00AM,388,34,25.0,422,102.0,214.0,72.0
2018-08-29 10:27PM,2018-08-30 07:24AM,469,68,34.0,537,110.0,270.0,89.0
2018-08-28 10:09PM,2018-08-29 06:14AM,448,37,29.0,485,85.0,304.0,59.0
2018-08-27 10:36PM,2018-08-28 06:30AM,394,80,17.0,474,123.0,208.0,63.0
2018-08-26 10:20PM,2018-08-27 07:12AM,478,54,24.0,532,171.0,240.0,67.0
2018-08-23 10:41PM,2018-08-24 06:43AM,428,54,26.0,482,133.0,227.0,68.0
2018-08-22 10:00PM,2018-08-23 05:59AM,426,53,16.0,479,115.0,233.0,78.0
2018-08-20 10:50PM,2018-08-21 06:44AM,433,41,29.0,474,95.0,261.0,77.0
2018-08-19 10:08PM,2018-08-20 06:33AM,442,63,23.0,505,127.0,254.0,61.0
2018-08-18 10:55PM,2018-08-19 06:40AM,391,73,21.0,464,96.0,230.0,65.0
2018-08-17 11:26PM,2018-08-18 07:16AM,422,48,32.0,470,92.0,238.0,92.0
2018-08-16 10:46PM,2018-08-17 06:10AM,405,38,18.0,443,98.0,219.0,88.0
2018-08-16 12:50AM,2018-08-16 07:06AM,318,58,25.0,376,59.0,209.0,50.0
2018-08-14 10:39PM,2018-08-15 06:56AM,441,56,35.0,497,129.0,226.0,86.0
2018-08-13 10:51PM,2018-08-14 06:43AM,421,50,18.0,471,106.0,274.0,41.0
2018-08-12 10:18PM,2018-08-13 06:45AM,441,66,31.0,507,106.0,281.0,54.0
2018-08-11 10:55PM,2018-08-12 06:35AM,412,47,25.0,459,86.0,252.0,74.0
2018-08-10 10:04PM,2018-08-11 05:26AM,395,47,29.0,442,83.0,272.0,40.0
2018-08-09 10:15PM,2018-08-10 02:31AM,215,41,11.0,256,56.0,113.0,46.0
2018-08-06 09:56PM,2018-08-07 06:21AM,452,53,31.0,505,128.0,242.0,82.0
2018-08-05 09:57PM,2018-08-06 06:52AM,475,60,30.0,535,139.0,303.0,33.0
2018-08-04 10:32PM,2018-08-05 06:54AM,438,64,31.0,502,79.0,288.0,71.0
2018-08-03 11:26PM,2018-08-04 07:14AM,404,63,20.0,467,99.0,241.0,64.0
2018-08-01 10:17PM,2018-08-02 05:59AM,390,72,24.0,462,75.0,240.0,75.0
2018-07-31 10:13PM,2018-08-01 05:58AM,422,43,20.0,465,115.0,244.0,63.0
2018-09-29 11:46PM,2018-09-30 06:47AM,366,54,26.0,420,97.0,222.0,47.0
2018-09-27 09:17PM,2018-09-28 06:21AM,459,85,19.0,544,139.0,273.0,47.0
2018-09-26 10:10PM,2018-09-27 06:43AM,414,99,21.0,513,117.0,198.0,99.0
2018-09-25 10:33PM,2018-09-26 06:27AM,430,43,33.0,473,110.0,256.0,64.0
2018-09-24 10:24PM,2018-09-25 06:32AM,427,60,25.0,487,107.0,289.0,31.0
2018-09-23 09:54PM,2018-09-24 06:42AM,477,51,35.0,528,94.0,313.0,70.0
2018-09-22 11:18PM,2018-09-23 06:55AM,417,39,25.0,456,109.0,240.0,68.0
2018-09-21 10:50PM,2018-09-22 07:19AM,443,65,24.0,508,119.0,265.0,59.0
2018-09-20 09:41PM,2018-09-21 06:36AM,488,47,29.0,535,120.0,274.0,94.0
2018-09-19 11:16PM,2018-09-20 06:39AM,391,51,24.0,442,109.0,226.0,56.0
2018-09-17 10:07PM,2018-09-18 06:40AM,433,80,18.0,513,136.0,258.0,39.0
2018-09-16 11:43PM,2018-09-17 06:39AM,339,76,24.0,415,87.0,215.0,37.0
2018-09-15 10:33PM,2018-09-16 07:16AM,494,29,31.0,523,142.0,265.0,87.0
2018-09-15 01:35PM,2018-09-15 03:27PM,105,6,,111,,,
2018-09-15 12:07AM,2018-09-15 06:51AM,357,47,18.0,404,106.0,198.0,53.0
2018-09-13 08:56PM,2018-09-14 04:19AM,355,88,20.0,443,73.0,239.0,43.0
2018-09-12 10:36PM,2018-09-13 06:43AM,434,53,21.0,487,106.0,280.0,48.0
2018-09-11 10:33PM,2018-09-12 06:57AM,447,56,27.0,503,131.0,271.0,45.0
